station,well,band,day,date,dye,medium,peak,conc
3,RW-04,2,35,2/10/2020,RWT,groundwater,ND,ND
4,RW-06,2,35,2/10/2020,RWT,groundwater,-,-
5,RW-07,2,35,2/10/2020,RWT,groundwater,-,-
6,RW-08,2,35,2/10/2020,RWT,groundwater,-,-
20,RW-05,2,35,2/10/2020,RWT,groundwater,ND,ND
21,EMW-20,2,35,2/10/2020,RWT,groundwater,ND,ND
7,EMW-07,3,35,2/10/2020,RWT,groundwater,-,-
8,EMW-11,3,35,2/10/2020,RWT,groundwater,-,-
9,EMW-12,3,35,2/10/2020,RWT,groundwater,-,-
22,EMW-13,3,35,2/10/2020,RWT,groundwater,ND,ND
10,EMW-18,4,35,2/10/2020,RWT,groundwater,*,*
11,EMW-19,4,35,2/10/2020,RWT,groundwater,*,*
12,EMW-21,4.5,35,2/10/2020,RWT,groundwater,*,*
13,EMW-01,5,35,2/10/2020,RWT,groundwater,*,*
14,EMW-02,5,35,2/10/2020,RWT,groundwater,*,*
23,RW-13,0,35,2/10/2020,fluorescein,carbon,*,*
24,EMW-14,0,35,2/10/2020,fluorescein,carbon,*,*
25,RW-01,0,35,2/10/2020,fluorescein,carbon,*,*
26,RW-03,0,35,2/10/2020,fluorescein,carbon,*,*
1,RW-02,1,35,2/10/2020,fluorescein,carbon,ND,ND
2,VE-02,1,35,2/10/2020,fluorescein,carbon,ND,ND
18,RW-12,1,35,2/10/2020,fluorescein,carbon,*,*
19,RW-10,1,35,2/10/2020,fluorescein,carbon,*,*
3,RW-04,2,35,2/10/2020,fluorescein,carbon,ND,ND
